סוג	מה קורה	מי קורה	מתי קורה	תאריך
זמר יוצר - אמיר ישראל עם אלבום בכורה חדש. מוזיקה המחברת רוק מערבי עם צלילי מזרח.	הופעה	אמיר ישראל	20:15	26.8.25
	סוף הופעה	אמיר ישראל	20:45	26.8.25
להקה - מטאטא השמד עם אלבומם השני. פוסט-סרף-הארדקור מיפו.	הופעה	מטאטא השמד	21:00	26.8.25
	סוף הופעה	מטאטא השמד	21:45	26.8.25
להקה - שאזאמאט מארחים את ילד (עומר יפת). הופעה תיאטרלית עם היט "למה את".	הופעה	שאזאמאט מארחים את ילד	22:00	26.8.25
	סוף הופעה	שאזאמאט מארחים את ילד	23:00	26.8.25
זמרת יוצרת - שירה וייסלר עם להקת החלומות. מופע מהאלבום הראשון ועוד הפתעות.	הופעה	שירה וייסלר	20:15	27.8.25
	סוף הופעה	שירה וייסלר	20:45	27.8.25
זמר יוצר	הופעה	יוגב גלוסמן	21:00	27.8.25
	סוף הופעה	יוגב גלוסמן	21:45	27.8.25
זמר יוצר - אביב גדג' עם האלבום החדש "עולם מופלא איפה אתה". מופע קאלט מלהקת אלג'יר.	הופעה	אביב גדג'	22:00	27.8.25
	סוף הופעה	אביב גדג'	23:00	27.8.25
ראפר - אברהם לגסה מההרכב טקסטיל. אלבום חדש "קונו" עם שיר ביפנית.	הופעה	אברהם לגסה	20:15	28.8.25
	סוף הופעה	אברהם לגסה	20:45	28.8.25
ראפר - בלולו עם היפ-הופ עתידני. מערבב ז'אנרים עם פלואו ייחודי.	הופעה	בלולו	21:00	28.8.25
	סוף הופעה	בלולו	21:45	28.8.25
זמר יוצר - עטר מיינר עם R&B, נשמה והיפ הופ. מפיק האלבום "לילה טוב".	הופעה	עטר מיינר	22:00	28.8.25
	סוף הופעה	עטר מיינר	23:00	28.8.25
